Designator,Quantity,Value,Footprint,LCSC Part #,Info
D_BOOST,1,,SOD-123,C8598,DIODESOD-123
PWR_LED,1,,603,C72038 ,LEDCHIPLED_0603
USER_LED,1,,603,C72041 ,LEDCHIPLED_0603 (blue)
IR_LED,1,,603,C142316 ,IR-LEDCHIPLED_0603
"Q1, Q4",2,,SOT23,C20917,MOSFET-NREFLOW
"C1, C2, C3, C4, C12, C19",6,0.1uF,402,C1525 ,C-USC0402
"R_COIL_PD, R_IRPT, R_LED_PD1, R_LED_PD3, R_OC, R_PLED, R_RST",7,10K,402,C25744 ,R-US_R0402
R2_BOOST,1,13K,603,C22797,R-US_R0603
Q3,1,16MHz,NX3225,C13738 ,XTAL-4-3225
R1_BOOST,1,180K,603,C22827,R-US_R0603
"C16, C17",2,18pF,0402-CAP,C1549 ,CAP0402-CAP
R_IRLED,1,200,603,C8218 ,R-US_R0603
C_UCAP,1,2.2uF,603,C23630 ,C-USC0603
Q5,1,2.5A/30V/105mO,SOT23-3,C15127,MOSFET_PCH-DMG2307L
Q2,1,20mA/30V,PT17-21C-L41-TR8,DIGIKEY,PHOTOTRANSISTORPT17-21C-L41-TR8
"R_D+, R_D-",2,22,402,C25092 ,R-US_R0402
L3,1,3.3uH,MS50,C408336 ,MS50
U0,1,32U4,QFN-44,C45874 ,ATMEGA32U4QFN
"C5, C6, C7, C8, C9, C11, C13, C15, C18",9,4.7uF,603,C19666 ,C-USC0603
"R_COIL_EN, R_LED, R_LED_EN1, R_LED_EN3, R_LED_TERM",7,510,402,C25123 ,R-US_R0402
"R_SCL, R_SDA",2,2.2K,402,C25879 ,R-US_R0402
FP6291,1,FP6291,SOT23-6L,C18701,FP6291
S1,1,MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT,TACTILE_SWITCH_SMD_5.2MM,C221856 ,MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32, LED33, LED34, LED35, LED36",36,WS2812B_5050N,WS2812B-NARROW,C114586 ,WS2812B_5050N
