Designator,Quantity,Value,Footprint,LCSC Part #
"D_COIL, D_USB",2,,SOD-123,C8598
USER_LED,1,,603,C72038 
Q4,1,,SOT-23-3L,C20917
Q3,1,,SMD-3225_4P ,C57131 
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C11, C12",11,0.1uF,402,C1525 
"R_CHG, R_CHG_STAT, R_LED_PD, R_RST",4,10K,402,C25744 
"C16, C17",2,12pF,402,C1547 
"R_SCL, R_SDA",2,2.2K,402,C25879 
"C_UCAP, C14",2,2.2uF,603,C23630 
"R_D+, R_D-",2,22,402,C25092 
U0,1,32U4,QFN-44,C45874 
"C10, C13, C15",3,4.7uF,603,C19666 
"R_LED, R_LED_EN, R_LED_TERM",3,510,402,C25123 
U2,1,FXOS8700CQR1,QFN-16_3.0x3.0x0.5P,C432308 
U1,1,MCP73831,SOT23-5,C424093
RG1,1,TOREX_XC6206P332MRTOREX_XC6206P332MR_0_0,SOT-23-3L,C5446
"LED1, LED2, LED3",3,WS2812B3535,LED-4_3535,-
