Designator,Mid X,Mid Y,Rotation,Layer
C1,-7.75000,-1.10000,180,Top
C2,4.50000,-1.00000,270,Top
C3,4.00000,6.20000,0,Top
C4,-4.55000,-5.00000,270,Top
C5,9.75000,8.75000,90,Top
C6,6.95000,7.05000,90,Top
C7,8.00000,9.25000,90,Top
C8,9.00000,-4.00000,270,Top
C9,-6.00000,-8.25000,180,Top
C10,1.00000,12.50000,90,Top
C11,4.75000,9.30000,0,Top
C12,9.80000,2.25000,270,Top
C13,13.00000,5.00000,270,Top
C14,4.00000,7.75000,0,Top
C15,-9.25000,9.75000,180,Top
C16,1.70000,-5.00000,90,Top
C17,-3.50000,-5.00000,270,Top
C_UCAP,-7.75000,0.45000,180,Top
D_COIL,-3.00000,11.50000,0,Top
D_USB,-10.00000,7.75000,180,Top
J1,-13.00000,2.25000,0,Top
LED1,12.00000,-4.00000,270,Top
LED2,-5.75000,-12.00000,180,Top
LED3,4.50000,12.00000,0,Top
Q3,-0.75000,-5.00000,0,Top
Q4,6.25000,-4.75000,180,Top
RG1,0.75000,8.50000,270,Top
R_CHG,-5.25000,6.75000,0,Top
R_D+,-7.75000,2.00000,180,Top
R_D-,-7.75000,3.05000,180,Top
R_LED,2.75000,-5.00000,90,Top
R_LED_EN,12.00000,0.05000,180,Top
R_LED_PD,12.00000,1.10000,0,Top
R_LED_TERM,12.00000,-1.00000,180,Top
R_RST,-1.75000,-9.25000,180,Top
R_SCL,6.00000,5.00000,180,Top
R_SDA,8.75000,2.25000,270,Top
S3,-0.50000,-12.50000,0,Top
U0,-0.25000,1.75000,0,Top
U1,-3.25000,9.00000,0,Top
U2,9.25000,5.50000,0,Top
USER_LED,2.25000,-7.25000,0,Top
